5	0.1	1.7
5	0.15	2.7
5	0.2	3.0
5	0.25	5.5
5	0.3	9.0
5	0.35	11.2
5	0.4	7.6
5	0.45	0.0
5	0.5	28.16
5	0.55	0.0
5	0.6	7.2
5	0.65	11.7
5	0.7	22.04
5	0.75	19.52
5	0.8	0.0
5	0.85	15.3
5	0.9	15.3
5	0.95	23.2
5	1	32.0
10	0.1	6.43
10	0.15	3.3
10	0.2	3.0
10	0.25	3.75
10	0.3	13.09
10	0.35	4.9
10	0.4	13.6
10	0.45	17.55
10	0.5	19.0
10	0.55	22.0
10	0.6	17.34
10	0.65	23.4
10	0.7	35.0
10	0.75	45.96
10	0.8	20.48
10	0.85	42.67
10	0.9	17.1
10	0.95	40.85
10	1	50.0
25	0.1	9.95
25	0.15	21.56
25	0.2	14.76
25	0.25	18.22
25	0.3	35.51
25	0.35	38.45
25	0.4	48.58
25	0.45	34.95
25	0.5	36.88
25	0.55	31.3
25	0.6	44.72
25	0.65	59.92
25	0.7	48.72
25	0.75	65.06
25	0.8	71.02
25	0.85	51.62
25	0.9	55.1
25	0.95	62.05
25	1	75.71
50	0.1	15.59
50	0.15	32.86
50	0.2	37.5
50	0.25	32.51
50	0.3	38.68
50	0.35	57.28
50	0.4	58.07
50	0.45	52.8
50	0.5	54.37
50	0.55	73.34
50	0.6	84.6
50	0.65	76.14
50	0.7	91.75
50	0.75	87.32
50	0.8	66.52
50	0.85	74.76
50	0.9	92.89
50	0.95	92.69
50	1	91.4
100	0.1	35.57
100	0.15	50.47
100	0.2	58.44
100	0.25	64.14
100	0.3	74.72
100	0.35	77.49
100	0.4	86.8
100	0.45	92.4
100	0.5	94.78
100	0.55	91.66
100	0.6	92.21
100	0.65	97.89
100	0.7	96.24
100	0.75	98.05
100	0.8	95.74
100	0.85	99.72
100	0.9	96.61
100	0.95	99.61
100	1	97.72
150	0.1	48.14
150	0.15	62.8
150	0.2	67.74
150	0.25	80.96
150	0.3	82.0
150	0.35	93.8
150	0.4	93.27
150	0.45	93.94
150	0.5	96.58
150	0.55	96.3
150	0.6	98.98
150	0.65	95.16
150	0.7	100.0
150	0.75	99.76
150	0.8	98.92
150	0.85	99.72
150	0.9	99.81
150	0.95	100.0
150	1	100.0
200	0.1	51.5
200	0.15	70.32
200	0.2	80.58
200	0.25	90.92
200	0.3	88.78
200	0.35	96.11
200	0.4	97.67
200	0.45	98.5
200	0.5	99.0
200	0.55	99.84
200	0.6	99.7
200	0.65	99.68
200	0.7	99.24
200	0.75	97.84
200	0.8	99.64
200	0.85	100.0
200	0.9	99.78
200	0.95	100.0
200	1	100.0
250	0.1	69.04
250	0.15	76.0
250	0.2	90.9
250	0.25	94.66
250	0.3	97.3
250	0.35	98.37
250	0.4	97.3
250	0.45	98.5
250	0.5	99.0
250	0.55	99.68
250	0.6	100.0
250	0.65	100.0
250	0.7	100.0
250	0.75	100.0
250	0.8	100.0
250	0.85	100.0
250	0.9	100.0
250	0.95	100.0
250	1	100.0
300	0.1	75.76
300	0.15	87.78
300	0.2	93.4
300	0.25	97.1
300	0.3	96.3
300	0.35	97.0
300	0.4	98.39
300	0.45	98.37
300	0.5	99.0
300	0.55	100.0
300	0.6	100.0
300	0.65	100.0
300	0.7	100.0
300	0.75	100.0
300	0.8	100.0
300	0.85	100.0
300	0.9	100.0
300	0.95	100.0
300	1	100.0
350	0.1	74.3
350	0.15	87.36
350	0.2	96.42
350	0.25	98.0
350	0.3	97.75
350	0.35	98.5
350	0.4	98.5
350	0.45	98.5
350	0.5	99.0
350	0.55	100.0
350	0.6	100.0
350	0.65	100.0
350	0.7	100.0
350	0.75	100.0
350	0.8	100.0
350	0.85	100.0
350	0.9	100.0
350	0.95	100.0
350	1	100.0
400	0.1	81.36
400	0.15	88.8
400	0.2	97.4
400	0.25	98.0
400	0.3	98.5
400	0.35	98.5
400	0.4	98.5
400	0.45	98.5
400	0.5	99.0
400	0.55	100.0
400	0.6	100.0
400	0.65	100.0
400	0.7	100.0
400	0.75	100.0
400	0.8	100.0
400	0.85	100.0
400	0.9	100.0
400	0.95	100.0
400	1	100.0
